,onehotencoder__estado_civil_casado (a),onehotencoder__estado_civil_divorciado (a),onehotencoder__estado_civil_solteiro (a),onehotencoder__escolaridade_fundamental,onehotencoder__escolaridade_medio,onehotencoder__escolaridade_superior,onehotencoder__inadimplencia_sim,onehotencoder__fez_emprestimo_sim,remainder__idade,remainder__saldo,remainder__tempo_ult_contato,remainder__numero_contatos
25,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,30.0,102.0,470.0,7.0
26,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,41.0,7735.0,220.0,1.0
27,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,47.0,4402.0,805.0,1.0
28,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,30.0,2145.0,727.0,2.0
29,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,47.0,1167.0,968.0,1.0
30,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,32.0,118.0,1275.0,1.0
31,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,27.0,-247.0,344.0,2.0
32,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,58.0,1640.0,72.0,6.0
33,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,51.0,2662.0,148.0,2.0
34,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,47.0,2246.0,330.0,1.0
35,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,34.0,475.0,559.0,1.0
36,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,40.0,1584.0,661.0,1.0
37,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,44.0,0.0,264.0,5.0
38,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,55.0,-404.0,502.0,3.0
39,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,71.0,14220.0,397.0,1.0
40,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,38.0,168.0,212.0,3.0
41,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,38.0,12877.0,118.0,3.0
42,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,54.0,98.0,420.0,4.0
43,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,43.0,13342.0,465.0,1.0
44,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,31.0,8312.0,43.0,13.0
45,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,36.0,119.0,127.0,8.0
46,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,31.0,156.0,657.0,7.0
47,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,33.0,3696.0,305.0,1.0
48,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,30.0,-393.0,435.0,1.0
49,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,38.0,497.0,88.0,5.0
50,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,52.0,335.0,411.0,1.0
51,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,57.0,27069.0,174.0,3.0
52,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,31.0,40.0,123.0,2.0
53,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,51.0,117.0,467.0,2.0
54,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,34.0,1337.0,330.0,2.0
55,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,59.0,259.0,415.0,1.0
56,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,34.0,1831.0,203.0,2.0
57,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,35.0,1265.0,326.0,5.0
58,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,29.0,950.0,135.0,3.0
59,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,38.0,1513.0,330.0,1.0
60,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,41.0,1680.0,76.0,2.0
61,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,34.0,61.0,21.0,1.0
62,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,37.0,0.0,129.0,4.0
63,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,579.0,83.0,4.0
64,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,55.0,2275.0,139.0,9.0
65,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,45.0,0.0,211.0,2.0
66,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,35.0,8.0,55.0,4.0
67,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,49.0,87.0,165.0,1.0
68,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,36.0,3064.0,240.0,3.0
69,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,22.0,691.0,338.0,1.0
70,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,41.0,771.0,106.0,8.0
71,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,48.0,340.0,255.0,2.0
72,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,49.0,1032.0,41.0,5.0
73,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,55.0,1467.0,277.0,2.0
74,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,28.0,0.0,767.0,5.0
75,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,34.0,84.0,231.0,1.0
76,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,60.0,366.0,593.0,1.0
77,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,43.0,388.0,2087.0,2.0
78,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,57.0,320.0,76.0,2.0
79,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,38.0,-673.0,364.0,1.0
80,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,35.0,470.0,743.0,13.0
81,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,54.0,2171.0,1034.0,1.0
82,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,40.0,-495.0,303.0,2.0
83,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,45.0,0.0,768.0,2.0
84,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,61.0,313.0,42.0,1.0
85,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,57.0,195.0,185.0,4.0
86,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,32.0,230.0,442.0,1.0
87,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,49.0,151.0,97.0,3.0
88,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,43.0,1696.0,257.0,1.0
89,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,20.0,502.0,261.0,1.0
90,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,49.0,2146.0,1516.0,2.0
91,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,76.0,2590.0,68.0,12.0
92,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,48.0,480.0,830.0,1.0
93,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,49.0,687.0,772.0,1.0
94,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,49.0,3726.0,875.0,2.0
95,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,33.0,106.0,175.0,3.0
96,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,32.0,1100.0,67.0,1.0
97,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,34.0,-228.0,187.0,3.0
98,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,37.0,403.0,318.0,2.0
99,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,34.0,415.0,123.0,1.0
100,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,31.0,1660.0,342.0,1.0
101,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,32.0,2431.0,646.0,5.0
102,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,38.0,3436.0,663.0,4.0
103,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,47.0,302.0,89.0,3.0
104,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,31.0,3283.0,258.0,1.0
105,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,27.0,213.0,378.0,1.0
106,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,31.0,0.0,79.0,3.0
107,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,35.0,1810.0,65.0,2.0
108,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,32.0,1905.0,709.0,2.0
109,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,31.0,0.0,298.0,1.0
110,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,35.0,62.0,67.0,1.0
111,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,40.0,194.0,189.0,2.0
112,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,38.0,2278.0,244.0,1.0
113,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,34.0,18.0,359.0,1.0
114,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,49.0,937.0,66.0,1.0
115,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,33.0,0.0,1448.0,7.0
116,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,40.0,226.0,176.0,2.0
117,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,34.0,1553.0,200.0,2.0
118,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,0.0,86.0,4.0
119,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,34.0,606.0,97.0,1.0
120,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,32.0,-53.0,648.0,1.0
121,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,40.0,10378.0,523.0,3.0
122,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,43.0,8167.0,114.0,2.0
123,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,68.0,4189.0,897.0,2.0
124,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,60.0,65.0,1028.0,2.0
125,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,39.0,102.0,272.0,2.0
126,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,45.0,180.0,62.0,2.0
127,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,32.0,678.0,1579.0,1.0
128,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,26.0,-759.0,191.0,1.0
129,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,21.0,2488.0,258.0,6.0
130,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,42.0,0.0,118.0,6.0
131,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,33.0,3935.0,765.0,1.0
132,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,39.0,1047.0,554.0,1.0
133,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,33.0,3470.0,285.0,2.0
134,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,75.0,6053.0,865.0,2.0
135,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,30.0,0.0,209.0,2.0
136,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,54.0,2206.0,104.0,1.0
137,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,42.0,372.0,654.0,2.0
138,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,32.0,950.0,219.0,4.0
139,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,45.0,2048.0,310.0,1.0
140,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,31.0,4148.0,316.0,3.0
141,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,83.0,1097.0,181.0,1.0
142,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,34.0,247.0,401.0,2.0
143,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,47.0,126.0,2456.0,2.0
144,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,59.0,204.0,286.0,2.0
145,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,48.0,1167.0,264.0,1.0
146,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,29.0,1445.0,328.0,2.0
147,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,33.0,478.0,475.0,2.0
148,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,31.0,325.0,1139.0,2.0
149,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,58.0,462.0,495.0,1.0
150,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,38.0,-363.0,340.0,2.0
151,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,52.0,-888.0,135.0,1.0
152,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,36.0,-461.0,254.0,2.0
153,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,50.0,201.0,248.0,1.0
154,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,27.0,7.0,98.0,2.0
155,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,37.0,0.0,146.0,4.0
156,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,45.0,827.0,319.0,5.0
157,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,40.0,0.0,297.0,1.0
158,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,48.0,302.0,208.0,3.0
159,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,36.0,678.0,85.0,3.0
160,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,49.0,2201.0,233.0,3.0
161,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,36.0,63.0,56.0,8.0
162,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,39.0,1439.0,73.0,6.0
163,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,28.0,198.0,128.0,2.0
164,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,33.0,641.0,347.0,2.0
165,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,1743.0,192.0,4.0
166,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,32.0,4.0,145.0,2.0
167,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,49.0,2039.0,451.0,1.0
168,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,57.0,1044.0,585.0,1.0
169,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,34.0,3050.0,469.0,1.0
170,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,29.0,451.0,451.0,1.0
171,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,36.0,465.0,160.0,1.0
172,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,41.0,77.0,56.0,1.0
173,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,38.0,432.0,10.0,2.0
174,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,36.0,2394.0,184.0,2.0
175,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,30.0,305.0,633.0,1.0
176,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,78.0,229.0,97.0,1.0
177,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,42.0,-921.0,115.0,2.0
178,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,30.0,2.0,102.0,1.0
179,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,29.0,-20.0,574.0,1.0
180,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,31.0,1086.0,410.0,1.0
181,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,59.0,2308.0,815.0,1.0
182,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,30.0,3107.0,1516.0,2.0
183,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,48.0,1147.0,389.0,1.0
184,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,49.0,889.0,388.0,1.0
185,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,27.0,1209.0,283.0,1.0
186,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,37.0,0.0,108.0,1.0
187,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,75.0,3810.0,262.0,1.0
188,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,46.0,-90.0,270.0,1.0
189,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,34.0,1897.0,441.0,1.0
190,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,59.0,92.0,139.0,2.0
191,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,79.0,8556.0,326.0,2.0
192,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,28.0,442.0,474.0,3.0
193,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,35.0,0.0,105.0,3.0
194,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,42.0,292.0,222.0,3.0
195,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,28.0,225.0,866.0,2.0
196,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,55.0,298.0,144.0,3.0
197,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,43.0,2160.0,261.0,1.0
198,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,7317.0,172.0,1.0
199,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,33.0,640.0,318.0,1.0
200,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,26.0,255.0,457.0,1.0
201,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,66.0,206.0,479.0,1.0
202,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,32.0,1005.0,215.0,1.0
203,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,53.0,751.0,343.0,4.0
204,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,60.0,-396.0,443.0,1.0
205,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,61.0,985.0,998.0,6.0
206,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,72.0,763.0,384.0,2.0
207,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,34.0,436.0,28.0,1.0
208,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,53.0,1796.0,295.0,1.0
209,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,54.0,653.0,352.0,1.0
210,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,58.0,565.0,876.0,1.0
211,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,42.0,508.0,70.0,1.0
212,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,52.0,-191.0,755.0,1.0
213,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,36.0,6.0,246.0,1.0
214,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,33.0,92.0,127.0,1.0
215,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,67.0,16353.0,223.0,2.0
216,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,62.0,6.0,216.0,1.0
217,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,34.0,4943.0,117.0,2.0
218,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,70.0,2815.0,125.0,2.0
219,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,37.0,238.0,185.0,1.0
220,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,35.0,1067.0,179.0,6.0
221,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,55.0,3450.0,169.0,1.0
222,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,33.0,79.0,249.0,2.0
223,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,34.0,470.0,217.0,1.0
224,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,61.0,5207.0,336.0,1.0
225,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,47.0,0.0,676.0,1.0
226,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,35.0,152.0,563.0,1.0
227,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,40.0,1451.0,314.0,1.0
228,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,25.0,760.0,223.0,3.0
229,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,40.0,260.0,52.0,1.0
230,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,28.0,-328.0,318.0,2.0
231,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,33.0,0.0,83.0,12.0
232,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,52.0,431.0,73.0,17.0
233,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,49.0,3608.0,231.0,1.0
234,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,43.0,2567.0,109.0,1.0
235,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,37.0,1315.0,224.0,1.0
236,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,74.0,921.0,394.0,2.0
237,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,30.0,4.0,443.0,2.0
238,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,59.0,879.0,228.0,1.0
239,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,35.0,0.0,1073.0,1.0
240,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,33.0,3143.0,421.0,2.0
241,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,39.0,691.0,517.0,1.0
242,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,32.0,2185.0,354.0,2.0
243,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,42.0,7190.0,375.0,2.0
244,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,57.0,1469.0,364.0,1.0
245,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,33.0,22.0,76.0,2.0
246,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,37.0,1053.0,405.0,3.0
247,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,44.0,900.0,322.0,2.0
248,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,45.0,999.0,182.0,2.0
249,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,41.0,-29.0,41.0,2.0
250,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,26.0,3342.0,329.0,4.0
251,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,51.0,1069.0,247.0,2.0
252,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,46.0,7378.0,466.0,1.0
253,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,45.0,128.0,275.0,2.0
254,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,46.0,834.0,196.0,2.0
255,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,41.0,8.0,155.0,2.0
256,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,29.0,103.0,314.0,1.0
257,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,39.0,7066.0,667.0,3.0
258,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,41.0,231.0,76.0,2.0
259,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,59.0,748.0,184.0,1.0
260,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,47.0,405.0,994.0,2.0
261,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,34.0,2374.0,161.0,1.0
262,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,34.0,1657.0,566.0,2.0
263,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,51.0,1679.0,417.0,1.0
264,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,30.0,1317.0,395.0,2.0
265,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,42.0,1322.0,178.0,1.0
266,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,46.0,548.0,1181.0,4.0
267,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,36.0,2944.0,882.0,8.0
268,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,43.0,3285.0,1721.0,2.0
